message,label
"Dear customer, your package could not be delivered. Pay a customs fee of $30 here: verify-now-safe.info",SCAM
Your email membership is expiring. Renew today to avoid interruption of service.,SUSPICIOUS
"Hey, are we still meeting for lunch at 4 PM tomorrow?",SAFE
"Your card ending in 557932 was charged $250. If this wasn't you, click account-update-portal.net to dispute now.",SCAM
Your order #169956 has been shipped and will arrive by 10 AM.,SAFE
Don't forget the team meeting today at 8 PM in the main conference room.,SAFE
"Hey, are we still meeting for lunch at 9 AM tomorrow?",SAFE
"Thanks for coming to the party last night, it was great seeing you!",SAFE
"Hey, are we still meeting for lunch at 7 PM tomorrow?",SAFE
Your Netflix membership is expiring. Renew today to avoid interruption of service.,SUSPICIOUS
New message request from an unknown number regarding a delivery you may have missed.,SUSPICIOUS
Don't forget the team meeting today at 11 AM in the main conference room.,SAFE
"Reminder: your PayPal trial ends soon. Upgrade now to keep your benefits, offer valid this week only.",SUSPICIOUS
Your prescription is ready for pickup at the pharmacy.,SAFE
Your bank membership is expiring. Renew today to avoid interruption of service.,SUSPICIOUS
We noticed you haven't logged in recently. Click here to reactivate your rewards points: secure-verify-account.com,SUSPICIOUS
Happy birthday! Hope you have a wonderful day 🎉,SAFE
Can you pick up milk on your way home?,SAFE
Don't forget the team meeting today at 2 PM in the main conference room.,SAFE
SECURITY ALERT: Unusual activity detected on your account. Verify now at account-update-portal.net to avoid suspension.,SCAM
We tried to deliver your parcel but failed. Reschedule and pay $2500 redelivery fee: account-update-portal.net,SCAM
"Hey, long time no talk! I switched numbers, can you send me your OTP so I can verify it's really you?",SUSPICIOUS
"The weather looks great this weekend, want to go hiking?",SAFE
Your flight Alex is confirmed for departure at 8 AM.,SAFE
"You've been selected for a free smartwatch! Claim now: tinyurl.com/prize-win. Limited time offer, act fast!",SCAM
You are pre-approved for a loan of $200 with 0% interest! Apply instantly at account-update-portal.net,SCAM
"Hello, this is Chase Bank customer care. Can you confirm your last transaction amount for verification?",SUSPICIOUS
Your flight Maria is confirmed for departure at 6:30 PM.,SAFE
"Don't miss out! Flash sale ends tonight, grab your smartwatch before stock runs out: account-update-portal.net",SUSPICIOUS
You've won a lottery of $2000! Send your bank details to claim your winnings today.,SCAM
Your account will be permanently closed in 24 hours. Confirm your password at verify-now-safe.info to keep it active.,SCAM
"Special discount just for you: 750% off your next order, use code SAVE750 at checkout.",SUSPICIOUS
"Just checking in, how did the exam go today?",SAFE
Can you send me the notes from today's lecture when you get a chance?,SAFE
You've won a lottery of $25! Send your bank details to claim your winnings today.,SCAM
Your subscription payment of $1500 failed. Update your card details urgently at tinyurl.com/prize-win,SCAM
You've won a lottery of $750! Send your bank details to claim your winnings today.,SCAM
"Hi, I'm from HR, we'd like to schedule an interview. Please share your ID number for verification.",SUSPICIOUS
Reminder: your dentist appointment is scheduled for 9 PM on Friday.,SAFE
"Hi mom, landed safely, will call you once I get to the hotel.",SAFE
"Your card ending in 233335 was charged $1500. If this wasn't you, click verify-now-safe.info to dispute now.",SCAM
"Reminder: your Amazon Prime trial ends soon. Upgrade now to keep your benefits, offer valid this week only.",SUSPICIOUS
"Hello, this is HSBC customer care. Can you confirm your last transaction amount for verification?",SUSPICIOUS
"You've been selected for a free laptop! Claim now: account-update-portal.net. Limited time offer, act fast!",SCAM
Congratulations! You have WON $1000! Click account-update-portal.net now to claim your prize before it expires.,SCAM
"Hey, dinner's ready whenever you get home.",SAFE
"Hey, are we still meeting for lunch at noon tomorrow?",SAFE
The homework for tomorrow's class covers chapters 4 and 5.,SAFE
Your OTP for logging into your account is 115677. Do not share this with anyone.,SAFE
"Hey, are we still meeting for lunch at 6 PM tomorrow?",SAFE
This is your last chance to claim your $1000 government stimulus. Apply here: www.reward-center.co,SCAM
"Is this Alex? I have a business proposal that could earn you extra income, let's talk when free.",SUSPICIOUS
"Hey, it's been a while. Can you help me out with something small? Call me when you get a chance.",SUSPICIOUS
You've won a lottery of $7500! Send your bank details to claim your winnings today.,SCAM
